,Workout start time,Workout end time,Duration (min),Activity Strain,Workout Max HR (bpm),Workout Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,Altitude gain (feet),Altitude change (feet),Distance (miles),Activity name_Inline Skating,Activity name_Manual Labor,Activity name_Motocross,Activity name_Obstacle Course Racing,Activity name_Wheelchair Pushing,Resting heart rate (bpm),Heart rate variability (ms),Blood oxygen %,Day Strain,Physiology Max HR (bpm),Physiology Average HR (bpm),Respiratory rate (rpm),Skin temp (fahrenheit),HR Zone Sum
50,2024-03-09 20:45:52,2024-03-09 23:30:52,164,14.3,157,117,21,24,43,7,0,2091,2,12,True,False,False,False,False,61,37,93,16,157,76,16.7,92,95
51,2024-03-08 20:48:59,2024-03-08 23:51:17,182,13.1,153,106,14,19,36,2,0,2146,5,12,True,False,False,False,False,0,0,0,13,153,71,,32,71
52,2024-03-07 14:42:06,2024-03-07 17:19:33,157,4.1,107,77,17,0,0,0,0,9188,-6,79,False,False,True,False,False,58,28,95,5,131,65,16.6,91,17
54,2024-03-02 20:45:16,2024-03-02 23:28:33,163,11.7,152,108,28,35,23,1,0,2242,-9,12,True,False,False,False,False,64,36,93,13,152,75,16.8,92,87
56,2024-03-01 21:22:20,2024-03-01 23:37:10,134,13.0,156,118,14,32,44,5,0,1821,-3,12,True,False,False,False,False,56,30,93,14,156,75,16.8,91,95
57,2024-02-22 14:53:07,2024-02-22 17:00:07,126,4.1,103,82,30,0,0,0,0,9175,-21,74,False,False,True,False,False,57,31,94,6,149,64,15.7,92,30
59,2024-02-16 20:48:13,2024-02-16 23:55:09,186,10.8,153,101,25,30,16,1,0,1964,-7,12,True,False,False,False,False,56,36,93,11,153,70,15.6,91,72
60,2024-02-12 15:13:25,2024-02-12 17:45:25,151,11.6,151,103,25,18,20,5,0,8947,-17,77,False,False,True,False,False,59,38,92,12,151,69,17.3,90,68
62,2024-02-10 20:45:14,2024-02-10 23:27:06,161,13.1,148,117,17,44,38,0,0,2032,0,12,True,False,False,False,False,64,35,95,13,158,77,16.9,91,99
63,2024-02-09 20:49:09,2024-02-09 23:57:05,187,11.6,152,102,26,20,21,1,0,2012,9,11,True,False,False,False,False,66,24,94,12,152,74,16.4,32,68
64,2024-02-06 14:47:59,2024-02-06 16:25:50,97,9.2,151,96,17,7,26,3,0,4076,20,37,False,False,True,False,False,61,26,93,12,151,67,16.4,92,53
66,2024-02-03 20:47:53,2024-02-03 23:20:51,152,9.1,141,102,47,41,2,0,0,1771,-2,12,True,False,False,False,False,62,35,93,10,141,72,17.4,90,90
67,2024-02-02 20:59:18,2024-02-02 23:11:58,132,12.8,154,116,13,36,41,3,0,1599,-5,11,True,False,False,False,False,61,28,93,14,154,74,16.2,92,93
68,2024-01-29 14:21:09,2024-01-29 16:43:39,142,10.5,152,93,22,11,11,5,0,7682,-45,76,False,False,True,False,False,57,33,94,11,152,67,16.8,92,49
