analysis_group,records,rri_hr,vertical_mean,vertical_rms,movement_std,peaks_per_min,peak_abs,peak_to_peak,vertical_rri_css
Walking,3,70.55,99.86,131.77,127.07,29.06,741.2,1153.0,0.77
Mall/PT controlled skating,10,83.52,60.66,81.53,74.6,28.36,751.46,1226.3,0.97
ParaTransit bus/cutaway,3,90.29,114.56,178.67,121.86,31.57,2717.68,4750.0,0.91
ParaTransit van,2,110.61,115.7,181.08,96.65,25.63,2813.89,5022.5,0.93
ParaTransit sedan,3,103.68,74.77,119.48,65.29,21.54,1954.9,2883.0,0.97
