analysis_group,records,rri_hr,vertical_mean,vertical_rms,movement_std,peaks_per_min,peak_to_peak,vertical_rri_css
Walking,3,70.55,99.86,131.77,127.07,29.06,1153.0,0.77
Mall/PT controlled skating,11,84.53,65.51,87.7,83.67,27.76,1463.36,0.97
